epoch,step,train_loss,train_acc,train_iou,train_dice
5,6600,0.000848,0.999635,0.988880,0.994404
5,6700,0.000822,0.999650,0.989357,0.994645
5,6800,0.000830,0.999648,0.989188,0.994560
5,6900,0.000837,0.999643,0.989104,0.994517
5,7000,0.000845,0.999642,0.988977,0.994451
5,7100,0.000801,0.999660,0.989560,0.994748
5,7200,0.000819,0.999654,0.989205,0.994568
5,7300,0.000855,0.999634,0.988828,0.994377
5,7400,0.000881,0.999627,0.988972,0.994451
5,7500,0.000851,0.999640,0.989035,0.994482
5,7600,0.000821,0.999652,0.989315,0.994623
5,7700,0.000817,0.999651,0.989139,0.994535
5,7800,0.000854,0.999637,0.989191,0.994562
5,7900,0.000849,0.999640,0.989112,0.994521
5,8000,0.000816,0.999652,0.989275,0.994603
5,8100,0.000824,0.999650,0.989331,0.994632
5,8200,0.000838,0.999644,0.989235,0.994583
5,8300,0.000860,0.999635,0.989102,0.994516
5,8400,0.000861,0.999633,0.988866,0.994396
5,8500,0.000820,0.999652,0.989369,0.994652
5,8600,0.000850,0.999638,0.988829,0.994378
5,8700,0.000815,0.999655,0.989282,0.994607
5,8800,0.000823,0.999649,0.989264,0.994598
5,8900,0.000820,0.999650,0.989234,0.994583
5,9000,0.000835,0.999643,0.989115,0.994523
5,9100,0.000818,0.999652,0.989220,0.994575
5,9200,0.000810,0.999655,0.989364,0.994649
5,9300,0.000861,0.999634,0.989175,0.994553
5,9400,0.000795,0.999663,0.989449,0.994692
5,9500,0.000833,0.999646,0.989189,0.994560
5,9600,0.000810,0.999655,0.989418,0.994677
5,9700,0.000820,0.999650,0.989447,0.994691
5,9800,0.000812,0.999655,0.989490,0.994712
5,9900,0.000814,0.999654,0.989283,0.994608
5,10000,0.000869,0.999629,0.988673,0.994299
5,10100,0.000807,0.999657,0.989534,0.994734
5,10200,0.000807,0.999657,0.989515,0.994725
5,10300,0.000828,0.999647,0.989139,0.994535
5,10400,0.000804,0.999660,0.989465,0.994699
5,10500,0.000841,0.999642,0.989211,0.994571
5,10600,0.000826,0.999649,0.989406,0.994670
5,10700,0.000865,0.999629,0.988833,0.994379
